Feature,Alkane,Non_alkane,Diff
EHOMO,1.3033401435889622,0.6624387433916779,0.6409014001972844
EGAP,0.20990966405478212,0.07697793931435166,0.13293172474043047
f(+)X,0.14434430174243673,0.03467720866265673,0.10966709307978001
BOX,0.12321256351707532,0.08528362441107606,0.03792893910599926
Oxidant_E0,1.8013242704789576,1.783307441117519,0.01801682936143867
f(0)X,0.11413571741782014,0.09996181928684138,0.01417389813097876
μ,0.010080529558256165,0.0068401731859673316,0.0032403563722888332
q(CH+)n,0.0338231280192438,0.030938629706679627,0.002884498312564175
f(+)n,0.059057509682274585,0.06022034733976378,-0.001162837657489195
E(B3LPY),0.010353248492180733,0.01173216469773783,-0.0013789162055570982
f(-)n,0.020055065055294925,0.025051085252639917,-0.004996020197344991
q(C-)n,0.016145307472358247,0.022972077503117444,-0.006826770030759197
qH+,0.010141744434359739,0.01796294844332086,-0.00782120400896112
f(0)n,0.03631012594863091,0.04469278626848931,-0.008382660319858404
ELUMO,0.045782537577781265,0.06060992484175982,-0.014827387263978552
q(CH+)X,0.016262979682621526,0.03383734259688657,-0.017574362914265042
f(-)X,0.03481211128931979,0.05337487107057069,-0.018562759781250902
BOn,0.016327105525440717,0.044741640340773964,-0.028414534815333247
q(C-)X,0.012892175368266597,0.07279656060472785,-0.05990438523646125
