Feature,Importance
Oxidant_E0,1.7742268121125275
EHOMO,0.7115238423778348
f(0)X,0.10374627476019477
BOX,0.08759414277399942
EGAP,0.08145265244279347
ELUMO,0.06215749068411486
q(C-)X,0.06017986967896123
f(+)n,0.05866659230741424
f(-)X,0.05815209909278841
f(+)X,0.04544991812051975
BOn,0.03973471595753425
f(0)n,0.03936710133839996
q(CH+)n,0.030065043378532372
q(CH+)X,0.028716449554031513
q(C-)n,0.023398648049381895
f(-)n,0.021921349086114553
qH+,0.016885669245557886
E(B3LPY),0.013559938230418938
μ,0.009214246533822327
